Part Number,Lowest Price Found,Vendor,Buy Link,DataSheet Link,Amount in Stock,Manufacturer
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
ERJ-M1WSF10MU,0.132,Newark element14,http://www.eciaauthorized.com/productredirect?id=74777007-1cb8-41b9-bdb2-5234a72ae185,http://www.eciaauthorized.com/productredirect?id=ccfd32b3-11f3-44a7-b696-6fbfb45e52d1,6000.0,PANASONIC ELECTRONIC COMPONENTS
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
GRM1885C1H112JA01D,0.0081,Components Direct,http://www.eciaauthorized.com/productredirect?id=9de65916-9f79-4aff-9a4c-c15e4d85680e,Not Found,4000.0,Murata Manufacturing
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
CRCW06037K50FKEA,0.013,Mouser Electronics,http://www.eciaauthorized.com/productredirect?id=f0d1410e-67f2-4338-8f8f-871bf89eec5f,http://www.eciaauthorized.com/productredirect?id=f1e96550-9b44-4b94-9400-559d8d9e76bf,61318.0,Vishay
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
Not Found,0,Not Found,Not Found,Not Found,unknown,Not Found
